	-90	-85	-80	-75	-70	-65	-60	-55	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
150	2.127368	2.123977	2.12007	2.115377	2.113939	2.112282	2.113993	2.099406	2.084509	2.086955	2.082121	2.085746	2.077248	2.069746	2.064162	2.08061	2.087302	2.19453	3.599385	2.215788	2.096366	2.081902	2.061479	2.08306	2.0757	2.07571	2.085205	2.096829	2.099067	2.106492	2.104132	2.110195	2.111846	2.117183	2.118232	2.124627	2.128302
170	2.138076	2.127686	2.129493	2.119119	2.122394	2.11904	2.112023	2.099082	2.093567	2.094016	2.084466	2.0883	2.079116	2.070475	2.07072	2.079669	2.089282	2.215658	3.769335	2.244793	2.09499	2.081922	2.064101	2.080951	2.0825	2.086164	2.092	2.102432	2.102658	2.106085	2.110426	2.116448	2.11915	2.122125	2.12896	2.128208	2.137119
200	2.145305	2.137195	2.134544	2.124162	2.127642	2.118116	2.117016	2.108376	2.106755	2.093385	2.091149	2.088528	2.08333	2.076188	2.071637	2.080652	2.109145	2.259958	3.936863	2.277927	2.112479	2.087438	2.07675	2.090383	2.090909	2.090777	2.097338	2.105206	2.107032	2.11552	2.119047	2.115929	2.126092	2.127483	2.135034	2.136081	2.143584
220	2.144763	2.142843	2.13253	2.127429	2.128571	2.12673	2.120211	2.108543	2.103767	2.098193	2.087226	2.086658	2.085795	2.081652	2.076936	2.084182	2.108392	2.282851	4.00833	2.287062	2.114633	2.089764	2.08736	2.09196	2.091688	2.091626	2.101496	2.107262	2.106794	2.118675	2.126416	2.128346	2.129499	2.131662	2.138289	2.139557	2.146804
250	2.20851	2.20448	2.196938	2.188292	2.180894	2.178978	2.174011	2.153787	2.152636	2.142213	2.125523	2.126689	2.12376	2.108575	2.102786	2.113106	2.147705	2.34948	4.143075	2.349695	2.138249	2.120061	2.111807	2.116582	2.120413	2.127273	2.137343	2.149284	2.15382	2.164395	2.177623	2.181837	2.183789	2.192328	2.203851	2.202131	2.209355
270	2.212696	2.206293	2.200202	2.190261	2.188458	2.183509	2.177632	2.156626	2.15435	2.14421	2.129647	2.128172	2.126658	2.11308	2.106631	2.106693	2.152968	2.360495	4.169834	2.363359	2.143925	2.116945	2.113778	2.120925	2.123948	2.124372	2.139271	2.159409	2.157039	2.169773	2.180686	2.185757	2.186129	2.196672	2.207174	2.205353	2.214268
300	2.217053	2.21039	2.206403	2.191767	2.191812	2.185111	2.18012	2.164164	2.160205	2.145514	2.131945	2.134508	2.13453	2.118776	2.110824	2.120618	2.152926	2.381354	4.218211	2.380616	2.147955	2.119623	2.116037	2.121608	2.129518	2.130165	2.142536	2.16553	2.162391	2.174509	2.181512	2.186731	2.184766	2.196382	2.211272	2.209178	2.217877
320	2.263327	2.25175	2.246647	2.232851	2.232708	2.219347	2.216837	2.199577	2.192403	2.17768	2.163481	2.165589	2.161038	2.1386	2.136894	2.139107	2.179112	2.40171	4.305334	2.418383	2.168407	2.136827	2.145626	2.147157	2.15514	2.162393	2.174556	2.196403	2.197591	2.211402	2.220932	2.228177	2.228277	2.237712	2.252168	2.256106	2.263577
350	2.264698	2.251561	2.247554	2.230612	2.238694	2.220527	2.214849	2.19942	2.194394	2.183046	2.168187	2.168056	2.159808	2.13815	2.135798	2.143204	2.17863	2.41394	4.363777	2.422501	2.168604	2.138425	2.148222	2.149555	2.153255	2.162903	2.178164	2.20219	2.199298	2.209356	2.220468	2.230363	2.231976	2.23787	2.252424	2.256069	2.263645
370	2.300601	2.290762	2.282973	2.265656	2.271993	2.250861	2.243366	2.227213	2.220529	2.206541	2.188075	2.188261	2.182004	2.155066	2.148547	2.157005	2.198706	2.44149	4.423656	2.449571	2.189211	2.150181	2.160134	2.169735	2.170626	2.187805	2.199868	2.225582	2.227756	2.240473	2.247468	2.259701	2.264021	2.269133	2.28949	2.294303	2.299766
400	2.331443	2.322697	2.313904	2.299153	2.302436	2.280593	2.269663	2.252587	2.241056	2.229785	2.208417	2.202229	2.196686	2.172944	2.168782	2.169954	2.219444	2.46398	4.479803	2.465693	2.211078	2.159946	2.176562	2.1885	2.184964	2.199706	2.218908	2.25036	2.251234	2.258823	2.274448	2.289736	2.295886	2.298858	2.317203	2.326733	2.332677
420	2.358446	2.34971	2.34615	2.325073	2.325604	2.304641	2.292863	2.27774	2.262524	2.24307	2.224334	2.218757	2.209233	2.189758	2.183289	2.189524	2.235225	2.490771	4.522833	2.483193	2.224301	2.17016	2.184614	2.205055	2.198216	2.216243	2.236356	2.266256	2.271566	2.28432	2.300435	2.310548	2.320586	2.329537	2.34844	2.356724	2.361656
450	2.407712	2.400481	2.392698	2.375525	2.375975	2.353686	2.335205	2.311632	2.303883	2.280041	2.264905	2.251847	2.247756	2.222624	2.209301	2.210175	2.254402	2.536655	4.585934	2.505815	2.243391	2.195551	2.209311	2.227698	2.226727	2.24594	2.26891	2.294233	2.302695	2.323348	2.344547	2.353543	2.368526	2.382123	2.390195	2.401141	2.411748
