	-90	-85	-80	-75	-70	-65	-60	-55	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
150	2.126918	2.125242	2.131356	2.129417	2.129724	2.118749	2.117111	2.115857	2.114531	2.115279	2.11255	2.108007	2.109988	2.108882	2.113939	2.122762	2.155736	2.28088	3.599385	2.291179	2.157862	2.123774	2.119572	2.120523	2.109965	2.114322	2.115932	2.115577	2.11829	2.117901	2.122697	2.120775	2.126016	2.126616	2.126849	2.124244	2.129663
170	2.134564	2.131718	2.138618	2.137411	2.131558	2.125733	2.120253	2.120296	2.127949	2.127221	2.115206	2.11862	2.119382	2.115868	2.127583	2.133838	2.176182	2.31213	3.769335	2.322347	2.161595	2.130325	2.120168	2.128361	2.12332	2.120703	2.12261	2.126366	2.128616	2.124927	2.128299	2.126175	2.132852	2.134438	2.134411	2.133329	2.135254
200	2.142005	2.142162	2.143915	2.141343	2.135228	2.133862	2.134024	2.135222	2.136192	2.131018	2.129907	2.126248	2.128391	2.128394	2.135853	2.156572	2.191414	2.371641	3.936863	2.376919	2.183997	2.143728	2.130454	2.13607	2.131986	2.125671	2.129351	2.130612	2.132646	2.139759	2.130903	2.131195	2.141266	2.139378	2.139214	2.140148	2.142311
220	2.143867	2.142635	2.145184	2.143471	2.142012	2.140646	2.13915	2.136156	2.136414	2.134445	2.134395	2.130586	2.131521	2.128531	2.134607	2.156048	2.1992	2.395009	4.00833	2.395284	2.19284	2.145945	2.136748	2.139569	2.13425	2.130471	2.132288	2.1332	2.13493	2.142907	2.136149	2.134298	2.14044	2.139412	2.142643	2.14047	2.145708
250	2.209204	2.207632	2.209721	2.206701	2.200495	2.198195	2.191939	2.188565	2.186479	2.181932	2.175885	2.174941	2.169644	2.158482	2.168676	2.184555	2.235755	2.455463	4.143075	2.452798	2.223623	2.18123	2.166396	2.172052	2.167689	2.174388	2.171861	2.181282	2.183455	2.193201	2.18651	2.187747	2.194781	2.199008	2.198371	2.205477	2.208828
270	2.211129	2.211296	2.210662	2.211729	2.203898	2.198918	2.191558	2.189661	2.186411	2.177736	2.17649	2.176641	2.172275	2.162732	2.167026	2.187556	2.232523	2.456696	4.169834	2.461909	2.229445	2.1847	2.168624	2.174512	2.170887	2.17944	2.179981	2.182083	2.18987	2.193325	2.187632	2.195981	2.199055	2.199587	2.199157	2.206049	2.209373
300	2.216059	2.212659	2.211634	2.212208	2.206939	2.200747	2.19513	2.1882	2.184611	2.18156	2.177835	2.170619	2.174231	2.163355	2.1731	2.194626	2.246146	2.4829	4.218211	2.491049	2.236649	2.189663	2.167958	2.180284	2.171333	2.183356	2.183227	2.186658	2.197219	2.197716	2.193101	2.201042	2.203696	2.206434	2.205731	2.206229	2.210355
320	2.261137	2.256401	2.25416	2.253876	2.248246	2.241328	2.232731	2.227613	2.220749	2.214478	2.207304	2.204874	2.198389	2.183587	2.192353	2.217757	2.269625	2.523469	4.305334	2.530389	2.255761	2.209993	2.188681	2.19988	2.199468	2.217511	2.213334	2.218207	2.228485	2.234182	2.233461	2.243018	2.244975	2.247711	2.249008	2.251703	2.253898
350	2.265385	2.258094	2.253259	2.255629	2.248208	2.243526	2.234993	2.227839	2.224271	2.214805	2.210765	2.206824	2.199771	2.189016	2.199543	2.221789	2.275603	2.532256	4.363777	2.54631	2.268563	2.217014	2.193988	2.20255	2.204072	2.212348	2.220787	2.219091	2.230218	2.231675	2.235431	2.245511	2.248625	2.249688	2.251747	2.254103	2.259459
370	2.299047	2.295672	2.287074	2.292639	2.280757	2.280346	2.270054	2.260468	2.254663	2.243262	2.236376	2.227698	2.220431	2.214192	2.222119	2.244627	2.29069	2.552098	4.423656	2.576587	2.286764	2.235504	2.210376	2.226419	2.226754	2.23347	2.247161	2.251689	2.256859	2.265565	2.268134	2.280445	2.282171	2.283984	2.28623	2.289102	2.293613
400	2.331575	2.328774	2.321314	2.32287	2.306078	2.310275	2.298638	2.289184	2.276848	2.268023	2.257989	2.247652	2.238796	2.234061	2.239253	2.263388	2.309943	2.583373	4.479803	2.603855	2.308579	2.247355	2.228869	2.242081	2.246015	2.253039	2.264041	2.274344	2.281794	2.291991	2.295616	2.306324	2.311469	2.317065	2.320281	2.321565	2.328033
420	2.358795	2.355023	2.347466	2.345868	2.335278	2.334258	2.323584	2.312403	2.295866	2.288293	2.276878	2.266029	2.258474	2.252193	2.257036	2.283201	2.32767	2.614251	4.522833	2.627899	2.324077	2.264911	2.248036	2.260987	2.267046	2.272125	2.286163	2.295959	2.297849	2.316259	2.321382	2.334007	2.337776	2.342475	2.345918	2.350251	2.354013
450	2.408473	2.405751	2.401295	2.401482	2.390172	2.384242	2.366423	2.358247	2.337477	2.330353	2.313348	2.29307	2.289145	2.28106	2.282832	2.310612	2.357289	2.659186	4.585934	2.655575	2.358521	2.300541	2.274859	2.289627	2.29271	2.307763	2.323751	2.339029	2.343925	2.362277	2.373504	2.385515	2.39319	2.396325	2.403078	2.403859	2.40682
